PLAYER_NAME,TEAM_ID,PLAYER_ID,SEASON,POSITION
Royce O'Neale,1610612762,1626220,2019,SF
Bojan Bogdanovic,1610612762,202711,2019,SF
Rudy Gobert,1610612762,203497,2019,C
Donovan Mitchell,1610612762,1628378,2019,SG
Mike Conley,1610612762,201144,2019,PG
Joe Ingles,1610612762,204060,2019,PF
Ed Davis,1610612762,202334,2019,C
Jeff Green,1610612762,201145,2019,PF-C
Dante Exum,1610612762,203957,2019,SG
Emmanuel Mudiay,1610612762,1626144,2019,PG
Georges Niang,1610612762,1627777,2019,PF
Tony Bradley,1610612762,1628396,2019,C
Nigel Williams-Goss,1610612762,1628430,2019,PG
Tobias Harris,1610612755,202699,2019,PF
Al Horford,1610612755,201143,2019,C
Joel Embiid,1610612755,203954,2019,C
Furkan Korkmaz,1610612755,1627788,2019,SG
Ben Simmons,1610612755,1627732,2019,PG
James Ennis III,1610612755,203516,2019,SF
Mike Scott,1610612755,203118,2019,PF
Raul Neto,1610612755,203526,2019,PG
Matisse Thybulle,1610612755,1629680,2019,SG
Shake Milton,1610612755,1629003,2019,SG
Kyle O'Quinn,1610612755,203124,2019,C
Norvel Pelle,1610612755,203658,2019,C
Kevin Knox II,1610612752,1628995,2019,SF
Julius Randle,1610612752,203944,2019,PF
Taj Gibson,1610612752,201959,2019,C
RJ Barrett,1610612752,1629628,2019,SG
Dennis Smith Jr.,1610612752,1628372,2019,PG
Wayne Ellington,1610612752,201961,2019,SG
Mitchell Robinson,1610612752,1629011,2019,C
Damyean Dotson,1610612752,1628422,2019,SG
Bobby Portis,1610612752,1626171,2019,PF
Allonzo Trier,1610612752,1629019,2019,SG
Ignas Brazdeikis,1610612752,1629649,2019,SF
Kadeem Allen,1610612752,1628443,2019,PG
Khris Middleton,1610612749,203114,2019,SF
Giannis Antetokounmpo,1610612749,203507,2019,PF
Robin Lopez,1610612749,201577,2019,C
Wesley Matthews,1610612749,202083,2019,SG
Eric Bledsoe,1610612749,202339,2019,PG
Donte DiVincenzo,1610612749,1628978,2019,SG
Ersan Ilyasova,1610612749,101141,2019,SF
Pat Connaughton,1610612749,1626192,2019,SG
George Hill,1610612749,201588,2019,PG
D.J. Wilson,1610612749,1628391,2019,PF
Kyle Korver,1610612749,2594,2019,SF
Dragan Bender,1610612749,1627733,2019,PF-C
Thanasis Antetokounmpo,1610612749,203648,2019,SF
Kris Dunn,1610612741,1627739,2019,PG
Lauri Markkanen,1610612741,1628374,2019,PF
Wendell Carter Jr.,1610612741,1628976,2019,C
Zach LaVine,1610612741,203897,2019,SG
Tomas Satoransky,1610612741,203107,2019,G
Coby White,1610612741,1629632,2019,PG
Thaddeus Young,1610612741,201152,2019,PF
Ryan Arcidiacono,1610612741,1627853,2019,PG
Denzel Valentine,1610612741,1627756,2019,SF
Daniel Gafford,1610612741,1629655,2019,C
Shaquille Harrison,1610612741,1627885,2019,SG
Luke Kornet,1610612741,1628436,2019,C
Max Strus,1610612741,1629622,2019,SF
Harrison Barnes,1610612758,203084,2019,PF
Nemanja Bjelica,1610612758,202357,2019,PF
Richaun Holmes,1610612758,1626158,2019,C
Buddy Hield,1610612758,1627741,2019,SG
Cory Joseph,1610612758,202709,2019,PG
Bogdan Bogdanovic,1610612758,203992,2019,SG
Justin James,1610612758,1629713,2019,SF
Trevor Ariza,1610612758,2772,2019,SF
Dewayne Dedmon,1610612758,203473,2019,C
Yogi Ferrell,1610612758,1627812,2019,PG
Harry Giles III,1610612758,1628385,2019,PF-C
Kyle Guy,1610612758,1629657,2019,SG
Caleb Swanigan,1610612758,1628403,2019,PF-C
Kelly Oubre Jr.,1610612756,1626162,2019,SF
Dario Saric,1610612756,203967,2019,PF-C
Frank Kaminsky,1610612756,1626163,2019,C
Devin Booker,1610612756,1626164,2019,SG
Ricky Rubio,1610612756,201937,2019,PG
Mikal Bridges,1610612756,1628969,2019,SF
Ty Jerome,1610612756,1629660,2019,SG
Cameron Johnson,1610612756,1629661,2019,PF
Jevon Carter,1610612756,1628975,2019,PG
Aron Baynes,1610612756,203382,2019,C
Tyler Johnson,1610612756,204020,2019,PG-SG
Elie Okobo,1610612756,1629059,2019,PG
Miles Bridges,1610612766,1628970,2019,SF
P.J. Washington,1610612766,1629023,2019,PF
Bismack Biyombo,1610612766,202687,2019,C
Devonte' Graham,1610612766,1628984,2019,PG
Terry Rozier,1610612766,1626179,2019,PG
Nicolas Batum,1610612766,201587,2019,SF
Cody Zeller,1610612766,203469,2019,C
Marvin Williams,1610612766,101107,2019,PF
Malik Monk,1610612766,1628370,2019,SG
Dwayne Bacon,1610612766,1628407,2019,SG
Willy Hernangomez,1610612766,1626195,2019,PF-C
Michael Kidd-Gilchrist,1610612766,203077,2019,PF
T.J. Warren,1610612754,203933,2019,SF
Domantas Sabonis,1610612754,1627734,2019,PF
Myles Turner,1610612754,1626167,2019,C
Jeremy Lamb,1610612754,203087,2019,SG
Malcolm Brogdon,1610612754,1627763,2019,PG
Justin Holiday,1610612754,203200,2019,SF
Aaron Holiday,1610612754,1628988,2019,PG
T.J. McConnell,1610612754,204456,2019,PG
Doug McDermott,1610612754,203926,2019,PF
Goga Bitadze,1610612754,1629048,2019,C
Alize Johnson,1610612754,1628993,2019,PF
TJ Leaf,1610612754,1628388,2019,PF
Solomon Hill,1610612763,203524,2019,PF
Jae Crowder,1610612763,203109,2019,SF-PF
Jaren Jackson Jr.,1610612763,1628991,2019,C
Dillon Brooks,1610612763,1628415,2019,SG
Tyus Jones,1610612763,1626145,2019,PG
De'Anthony Melton,1610612763,1629001,2019,PG
Grayson Allen,1610612763,1628960,2019,SG
Bruno Caboclo,1610612763,203998,2019,C
Marko Guduric,1610612763,1629741,2019,SG
Kyle Anderson,1610612763,203937,2019,SF
Brandon Clarke,1610612763,1629634,2019,PF
Jonas Valanciunas,1610612763,202685,2019,C
